,,,Conexiones con medidor leído (Conex) - 2160,,,,,,,,,,,
,Cod. Loc.,Nombre Localidad,"2,013","2,014","2,015",2T 2016,,,Cod EPS,Siglas EPS,"2,013","2,014","2,015",2T 2016
1,"1,001",CHACHAPOYAS,"6,310","6,653","6,824","6,983",,,1,EMUSAP S.R.L.,"6,310","6,653","6,824","6,983"
2,"2,001",HUANUCO,"25,688","26,044","25,268","25,206",,,2,SEDA HUÁNUCO S.A.,"35,555","35,032","35,546","35,581"
2,"2,002",TINGO MARIA,"7,154","6,616","7,255","7,354",,,3,EMAPACOP S.A.,1,49,828,"2,776"
2,"2,003",AUCAYACU,"2,713","2,372","3,023","3,021",,,4,SEDALORETO S.A.,"34,584","34,608","35,659","33,971"
3,"3,001",PUCALLPA,1,49,828,"2,776",,,5,EMAPA CAÑETE S.A.,"4,436","4,585","7,391","8,006"
4,"4,001",IQUITOS,"23,923","22,552","23,434","22,112",,,6,EMSA PUNO S.A.,"16,880","18,418","20,694","21,841"
4,"4,002",YURIMAGUAS,"10,502","11,883","12,050","11,688",,,7,EPSSMU S.R.L.,0,0,0,0
4,"4,003",REQUENA,159,173,175,171,,,8,ATUSA,"20,142","21,007","19,949","20,283"
5,,NINGUNO,,,,,,,9,EMAPA PASCO S.A.,0,0,0,0
5,"5,001",SAN VICENTE,884,972,"2,774","2,940",,,10,EMAPISCO S.A.,"1,134","1,779","3,275","5,469"
5,"5,002",LUNAHUANA,5,4,5,11,,,11,SEDACAJ S.A.,"31,688","34,569","35,367","36,253"
5,"5,003",IMPERIAL,540,693,789,852,,,12,EPS TACNA S.A.,"47,666","50,830","45,655","44,991"
5,"5,004",SAN LUIS,239,381,398,396,,,13,EMAPAVIGS S.A.C.,62,15,86,89
5,"5,005",CERRO AZUL,429,398,412,460,,,14,SEDACHIMBOTE S.A.,"49,648","54,006","55,510","55,537"
5,"5,006",MALA,"1,135","1,053","2,024","2,059",,,15,SEDA AYACUCHO S.A.,"35,554","36,540","38,695","36,821"
5,"5,007",SAN ANTONIO,555,553,575,616,,,16,EMAPA SAN MARTIN S.A.,"30,794","46,796","35,200","35,481"
5,"5,008",SANTA CRUZ DE FLORES,201,153,115,151,,,17,EMAPAT S.R.L.,"14,152","14,876","16,956","15,161"
5,"5,009",QUILMANA,144,108,109,365,,,18,SEMAPACH S.A.,"1,996","3,003","2,898","2,827"
5,,SAN MARCOS DE LA AGUADA,,,,,,,19,EPS SELVA CENTRAL S.A.,"6,170","7,494","10,999","11,193"
5,"5,010",ASIA,304,270,190,156,,,20,EPS MOYOBAMBA S.R.L.,"9,938","10,153","10,806","11,054"
5,,CHILCA,,,,,,,21,EMAPA HUANCAVELICA S.A.,"5,419","5,945","6,658","6,992"
5,,CALANGO,,,,,,,22,EPS MOQUEGUA S.A.,"5,682","6,768","6,161","6,680"
6,"6,001",PUNO,"16,288","18,386","20,550","21,700",,,23,EMAPA Y S.R.L.,0,0,0,0
6,,JULI,,,,,,,24,EMAPA HUARAL S.A.,"5,668","4,716","4,129","4,409"
6,"6,002",ILAVE,565,,,,,,25,EMAPA HUACHO S.A.,"17,611","19,169","20,907","21,943"
6,"6,003",DESAGUADERO,27,32,144,141,,,26,SEDAPAL ,"1,165,394","1,187,972","1,215,082","1,248,728"
7,"7,001",BAGUA GRANDE,0,0,0,0,,,27,EPS ILO S.A.,"21,596","23,826","21,927","21,927"
8,"8,001",TUMBES,"7,233","7,384","6,981","6,927",,,28,SEDALIB S.A.,"118,805","119,634","130,124","131,324"
8,"8,002",SAN JUAN DE LA VIRGEN,22,26,39,42,,,29,EPSEL S.A.,"56,855","49,887","74,493","74,493"
8,"8,003",PAMPAS  DE HOSPITAL,35,42,61,68,,,30,SEDAPAR S.A.,"206,791","217,443","226,943","230,041"
8,"8,004",PUERTO PIZARRO,441,558,538,524,,,31,SEDACUSCO S.A.,"58,999","63,843","67,647","70,647"
8,"8,005",NUEVO TUMBES,"4,137","4,256","4,288","4,413",,,32,EPS GRAU S.A.,"107,421","108,602","97,835","106,652"
8,"8,006",CORRALES,"2,144","2,107","2,091","2,134",,,33,EPS CHAVIN S.A.,"19,716","20,974","22,002","22,617"
8,"8,007",SAN JACINTO,798,827,809,868,,,34,EMAQ S.R.L.,354,462,"1,021","1,628"
8,"8,008",LA CRUZ,"1,018",992,887,950,,,35,EMAPAB S.R.L.,118,118,663,654
8,"8,009",ZORRITOS,"1,040","1,205","1,003","1,142",,,36,SEMAPA BARRANCA S.A.,"1,375","2,153","2,417","2,419"
8,"8,010",CANOAS DE PUNTA SAL,437,631,629,621,,,37,EMAPICA S.A.,"2,474","5,098","5,174","5,291"
8,"8,011",ZARUMILLA,"1,466","1,494","1,340","1,254",,,38,EMPSSAPAL S.A.,"9,221","9,569","7,558","7,558"
8,"8,012",AGUAS VERDES,"1,337","1,401","1,169","1,215",,,39,EPS SIERRA CENTRAL S.A.,"2,738","2,759","2,794","2,662"
8,"8,013",PAPAYAL,20,57,86,89,,,40,EPS NOR PUNO S.A.,"4,555","4,721","5,045","5,036"
8,,POCITOS,,,,,,,41,SEDAJULIACA S.A.,"7,602","6,919","6,856","6,856"
8,"8,014",MATAPALO,14,27,28,36,,,42,EPS MANTARO S.A.,"3,567","3,887","4,093","4,251"
9,"9,001",CERRO DE PASCO,0,0,0,0,,,43,EMUSAP ABANCAY S.A.C.,"10,357","11,174","11,874","11,949"
9,,VICCO,,,S.I.,,,,44,EMSAP CHANKA S.C.R.L.,"4,000","4,497","4,909","4,573"
9,,HUARIACA,,,,,,,45,EPS MARAÑON S.R.L.,"13,547","15,497","15,888","16,463"
10,"10,001",PISCO,"1,112","1,720","3,207","4,595",,,46,SEDAM HUANCAYO S.A.,"12,902","23,921","25,315","26,102"
10,,INDEPENDENCIA,,,,,,,47,EMSAPA CALCA S.R.L.,0,0,0,0
10,"10,002",SAN ANDRES,22,57,66,871,,,48,EPS AGUAS DEL ALTIPLANO S.R.L.,0,0,0,0
10,,TUPAC AMARU INCA,,,,,,,50,EMSAPA YAULI S.R.L.,"2,321","2,886","2,381","2,362"
10,"10,003",LA VILLA TUPAC AMARU,0,2,2,3,,,51,SEDAPAR S.R.L.,"3,295","2,773","3,072","3,072"
11,"11,001",CAJAMARCA,"29,667","32,358","33,080","33,929",,,,,,,,
11,"11,002",CONTUMAZA,897,978,"1,012","1,007",,,,,,,,
11,"11,003",SAN MIGUEL,"1,124","1,233","1,275","1,317",,,,,,,,
12,"12,001",TACNA,"47,308","50,339","45,216","44,511",,,,,,,,
12,"12,002",PACHIA,167,180,133,193,,,,,,,,
12,"12,003",LOCUMBA,191,311,306,287,,,,,,,,
13,"13,001",NASCA,62,15,86,89,,,,,,,,
14,"14,001",CHIMBOTE,"41,289","45,143","46,706","46,642",,,,,,,,
14,"14,002",CASMA,"4,687","5,109","5,050","5,207",,,,,,,,
14,"14,003",HUARMEY,"3,672","3,754","3,754","3,688",,,,,,,,
15,"15,001",HUAMANGA,"28,800","29,547","31,369","29,317",,,,,,,,
15,"15,002",HUANTA,"6,754","6,993","7,326","7,504",,,,,,,,
16,"16,001",TARAPOTO,"26,282","26,273","26,768","26,974",,,,,,,,
16,,JUANJUI,,,,,,,,,,,,
16,,RIOJA,,,,,,,,,,,,
16,"16,002",SAPOSOA,"1,701","16,681","1,937","1,946",,,,,,,,
16,"16,003",LAMAS,"1,670","1,983","3,074","3,106",,,,,,,,
16,"16,004",SAN JOSE DE SISA,"1,138","1,856","2,077","2,067",,,,,,,,
16,,PICOTA,,,,,,,,,,,,
16,"16,005",BELLAVISTA,3,3,"1,344","1,388",,,,,,,,
16,,TOCACHE,,,,,,,,,,,,
17,"17,001",PUERTO MALDONADO,"14,152","14,876","16,956","15,161",,,,,,,,
18,"18,001",CHINCHA ALTA,"1,575","2,247","2,117","2,070",,,,,,,,
18,"18,002",TAMBO DE MORA,35,95,97,96,,,,,,,,
18,,EL CARMEN - NO ACTIVO,,,,,,,,,,,,
18,"18,003",CHINCHA BAJA,95,152,155,155,,,,,,,,
18,"18,004",PUEBLO NUEVO,132,295,298,296,,,,,,,,
18,"18,005",GROCIO PRADO,7,22,26,7,,,,,,,,
18,"18,006",SUNAMPE,105,122,130,127,,,,,,,,
18,"18,007",ALTO LARAN,47,70,75,76,,,,,,,,
19,"19,001",LA MERCED,"2,897","3,658","4,293","4,337",,,,,,,,
19,"19,002",SAN RAMON,194,290,309,304,,,,,,,,
19,,VITOC,,,,,,,,,,,,
19,,PERENE,,,,,,,,,,,,
19,"19,003",PICHANAKI,"1,999","2,203","4,076","4,122",,,,,,,,
19,,SANTA ROSA,,,,,,,,,,,,
19,"19,004",OXAPAMPA,90,141,234,239,,,,,,,,
19,"19,005",VILLA RICA,373,450,502,528,,,,,,,,
19,"19,006",SATIPO,617,752,"1,585","1,663",,,,,,,,
19,,PANGOA,,,,,,,,,,,,
19,,MAZAMARI,,,,,,,,,,,,
20,"20,001",MOYOBAMBA,"9,938","10,153","10,806","11,054",,,,,,,,
20,,SORITOR,,,,,,,,,,,,
21,"21,001",HUANCAVELICA,"5,419","5,945","6,658","6,992",,,,,,,,
21,,IZCUCHACA,,,,,,,,,,,,
21,,ACOBAMBA,,,,,,,,,,,,
21,,CASTROVIRREYNA,,,,,,,,,,,,
22,"22,001",MOQUEGUA,"5,682","6,768","6,161","6,680",,,,,,,,
23,"23,001",YUNGUYO,0,0,0,0,,,,,,,,
24,"24,001",HUARAL,"5,668","4,716","4,129","4,409",,,,,,,,
25,"25,001",SAYAN,"1,369","1,556","1,653","1,500",,,,,,,,
25,"25,002",VEGUETA,"2,135","2,159","2,179","2,179",,,,,,,,
25,"25,003",HUACHO,"14,107","15,454","17,075","18,264",,,,,,,,
26,"26,001",CARABAYLLO,"28,613","39,262","40,006","40,762",,,,,,,,
26,"26,002",COMAS,"28,496","29,148","36,193","54,851",,,,,,,,
26,"26,003",PUENTE PIEDRA,"41,052","41,720","41,922","42,781",,,,,,,,
26,"26,004",RIMAC,"20,120","20,523","20,940","21,151",,,,,,,,
26,"26,005",INDEPENDENCIA,"2,459","2,396","2,463","6,269",,,,,,,,
26,"26,006",SAN MARTIN DE PORRES,"86,509","86,757","90,909","92,275",,,,,,,,
26,"26,007",LOS OLIVOS,"46,204","44,948","46,839","46,150",,,,,,,,
26,"26,008",ANCON,"4,675","4,845","5,090","5,309",,,,,,,,
26,"26,009",SANTA ROSA,"1,983","1,847","2,088","2,155",,,,,,,,
26,"26,010",CALLAO,"48,024","48,414","49,767","51,319",,,,,,,,
26,"26,011",BELLAVISTA,"10,683","10,524","10,777","11,086",,,,,,,,
26,"26,012",CARMEN DE LA LEGUA,357,355,389,560,,,,,,,,
26,"26,013",LA PERLA,"9,425","9,387","9,606","9,722",,,,,,,,
26,"26,014",LA PUNTA,"1,071","1,097","1,101","1,107",,,,,,,,
26,"26,015",VENTANILLA,"34,717","35,666","28,713","29,091",,,,,,,,
26,"26,016",EL CERCADO,"46,461","46,711","47,222","46,622",,,,,,,,
26,"26,017",BREÑA,"13,556","13,490","13,715","13,515",,,,,,,,
26,"26,018",JESUS MARÍA,"10,459","10,362","10,531","10,414",,,,,,,,
26,"26,019",LA VICTORIA,"28,049","28,095","28,499","28,279",,,,,,,,
26,"26,020",MAGDALENA DEL MAR,"8,444","8,315","8,477","8,430",,,,,,,,
26,"26,021",PUEBLO LIBRE,"13,056","12,902","13,002","12,922",,,,,,,,
26,"26,022",SAN MIGUEL,"21,456","21,499","21,700","21,120",,,,,,,,
26,"26,023",ATE-VITARTE,"73,965","75,760","77,276","78,030",,,,,,,,
26,"26,024",CHACLACAYO,"1,083","1,115","1,167","1,163",,,,,,,,
26,"26,025",CIENEGUILLA,"2,116","2,171","2,297","2,240",,,,,,,,
26,"26,026",EL AGUSTINO,"20,509","20,533","20,813","20,828",,,,,,,,
26,"26,027",LA MOLINA,"27,022","26,779","26,592","26,825",,,,,,,,
26,"26,028",LURIGANCHO,"6,462","6,607","6,963","7,531",,,,,,,,
26,"26,029",SAN LUIS,"7,603","7,493","7,358","7,502",,,,,,,,
26,"26,030",SANTA ANITA,"14,003","14,457","14,648","14,620",,,,,,,,
26,"26,031",SAN JUAN DE LURIGANCHO,"136,938","140,619","142,802","144,714",,,,,,,,
26,"26,032",LURIN,"7,779","8,079","8,186","8,420",,,,,,,,
26,"26,033",PACHACAMAC,"12,005","12,377","12,881","13,083",,,,,,,,
26,"26,034",PUCUSANA,"1,227","1,372","1,476","1,523",,,,,,,,
26,"26,035",SAN JUAN DE MIRAFLORES,"55,515","56,348","56,964","56,669",,,,,,,,
26,"26,036",VILLA MARIA DEL TRIUNFO,"58,985","60,308","61,496","62,826",,,,,,,,
26,"26,037",VILLA EL SALVADOR,"65,028","65,669","66,293","66,757",,,,,,,,
26,"26,038",BARRANCO,"6,456","6,444","6,400","6,467",,,,,,,,
26,"26,039",CHORRILLOS,"39,163","39,838","40,019","40,658",,,,,,,,
26,"26,040",LINCE,"10,150","10,159","10,125","10,172",,,,,,,,
26,"26,041",MIRAFLORES,"16,299","16,141","16,049","16,169",,,,,,,,
26,"26,042",SAN BORJA,"19,590","19,516","19,384","19,594",,,,,,,,
26,"26,043",SAN ISIDRO,"11,447","11,388","11,297","11,316",,,,,,,,
26,"26,044",SURCO,"49,778","49,895","49,931","50,524",,,,,,,,
26,"26,045",SURQUILLO,"13,122","13,159","13,146","13,210",,,,,,,,
26,"26,046",PUNTA NEGRA,925,946,984,"1,042",,,,,,,,
26,"26,047",PUNTA HERMOSA,996,"1,032","1,096","1,118",,,,,,,,
26,"26,048",SAN BARTOLO,"1,359","1,504","1,570","1,584",,,,,,,,
26,"26,049",MI PERÚ,,,"7,920","8,253",,,,,,,,
27,"27,001",ILO,"21,596","23,826","21,927","21,927",,,,,,,,
28,"28,001",TRUJILLO,"47,990","46,785","49,528","50,221",,,,,,,,
28,,PACASMAYO,,,,,,,,,,,,
28,"28,002",CHEPEN,"5,552","5,464","5,651","5,774",,,,,,,,
28,,VIRU,,,,,,,,,,,,
28,,CHAO,,,,,,,,,,,,
28,"28,003",HUANCHACO,"1,777","4,527","5,216","5,314",,,,,,,,
28,"28,004",MOCHE,"1,266","1,467","1,549","1,597",,,,,,,,
28,"28,005",SALAVERRY,987,"1,043","1,324","1,379",,,,,,,,
28,,GUADALUPE,,,,,,,,,,,,
28,,SAN PEDRO DE LLOC,,,,,,,,,,,,
28,"28,006",CHOCOPE,659,645,973,970,,,,,,,,
28,"28,007",PUERTO MALABRIGO,"1,142","1,079","1,101","1,100",,,,,,,,
28,"28,008",PAIJAN,"2,096","2,021","2,137","2,145",,,,,,,,
28,"28,009",LA ESPERANZA,"24,568","24,400","25,667","25,235",,,,,,,,
28,"28,010",EL PORVENIR,"20,566","20,155","22,567","23,104",,,,,,,,
28,"28,011",FLORENCIA DE MORA,"3,161","3,130","4,889","4,847",,,,,,,,
28,,CHICAMA,,,,,,,,,,,,
28,"28,012",PACANGUILLA,827,781,823,826,,,,,,,,
28,"28,013",VICTOR LARCO,"8,214","8,137","8,699","8,812",,,,,,,,
29,"29,001",CHICLAYO,"40,833","30,461","49,285","49,285",,,,,,,,
29,"29,002",LAMBAYEQUE,"1,546","1,587","2,387","2,387",,,,,,,,
29,"29,003",FERREÑAFE,"2,146","2,831","2,371","2,371",,,,,,,,
29,"29,004",PIMENTEL,"2,189",688,"3,006","3,006",,,,,,,,
29,,CHONGOYAPE,,,,,,,,,,,,
29,"29,005",ETEN,734,"1,606","1,854","1,854",,,,,,,,
29,"29,006",MONSEFU,118,143,810,810,,,,,,,,
29,"29,007",ETEN PUERTO,78,268,318,318,,,,,,,,
29,"29,008",NUEVA ARICA,241,284,418,418,,,,,,,,
29,"29,009",OYOTUN,143,231,128,128,,,,,,,,
29,"29,010",PICSI,17,189,180,180,,,,,,,,
29,"29,011",REQUE,658,842,979,979,,,,,,,,
29,"29,012",ZAÑA,744,870,757,757,,,,,,,,
29,"29,013",SANTA ROSA,737,"1,190","1,524","1,524",,,,,,,,
29,"29,014",ILLIMO,890,893,899,899,,,,,,,,
29,,PALLANCA,,,,,,,,,,,,
29,"29,015",MOCHUMI,29,311,572,572,,,,,,,,
29,"29,016",MOTUPE,"1,724","2,128","2,050","2,050",,,,,,,,
29,"29,017",OLMOS,149,628,466,466,,,,,,,,
29,"29,018",PACORA,737,755,719,719,,,,,,,,
29,"29,019",SALAS,63,57,116,116,,,,,,,,
29,"29,020",SAN JOSE,660,662,"1,259","1,259",,,,,,,,
29,"29,021",TUCUME,544,542,958,958,,,,,,,,
29,,MORROPE,,,,,,,,,,,,
29,,Desconocido,,,,,,,,,,,,
29,"29,022",POSOPE ALTO,444,808,730,730,,,,,,,,
29,"29,023",BATAN GRANDE,319,495,561,561,,,,,,,,
29,"29,024",JAYANCA,628,633,"1,060","1,060",,,,,,,,
29,"29,025",MOCUPE,60,247,538,538,,,,,,,,
29,"29,026",PAMPA GRANDE,424,538,548,548,,,,,,,,
30,"30,001",AREQUIPA METROPOLITANA,"182,605","191,161","199,894","203,193",,,,,,,,
30,"30,002",LA JOYA,"1,493","1,492","1,557","1,644",,,,,,,,
30,"30,003",CAMANA,"4,147","4,472","4,546","4,123",,,,,,,,
30,"30,004",CARAVELI,827,941,931,922,,,,,,,,
30,"30,005",ATICO,711,747,"1,112",774,,,,,,,,
30,"30,006",CHALA,515,556,569,502,,,,,,,,
30,"30,007",YAUCA,344,371,359,320,,,,,,,,
30,"30,008",APLAO,"1,721","1,916","1,461","2,022",,,,,,,,
30,"30,009",CHIVAY,"1,738","1,740","1,540","1,588",,,,,,,,
30,,NO ACTIVO (CAYLLOMA),,,,,,,,,,,,
30,"30,010",EL PEDREGAL,"1,830","2,645","2,645","2,440",,,,,,,,
30,"30,011",CHUQUIBAMBA,871,894,901,"1,052",,,,,,,,
30,"30,012",MOLLENDO,"5,115","5,342","5,830","5,822",,,,,,,,
30,"30,013",COCACHACRA,"1,158","1,385","1,456","1,517",,,,,,,,
30,"30,014",LA CURVA,280,303,364,349,,,,,,,,
30,"30,015",MATARANI,756,623,774,666,,,,,,,,
30,"30,016",MEJIA,475,483,547,448,,,,,,,,
30,"30,017",PUNTA DE BOMBON,"1,355","1,468","1,460","1,494",,,,,,,,
30,"30,018",EL ARENAL,427,371,377,466,,,,,,,,
30,"30,019",COTAHUASI,423,533,620,699,,,,,,,,
31,"31,001",CUSCO,"58,960","63,804","67,606","70,606",,,,,,,,
31,,ACOMAYO,,,,,,,,,,,,
31,,URUBAMBA,,,,,,,,,,,,
31,"31,002",PAUCARTAMBO,39,39,41,41,,,,,,,,
31,,HUAROCONDO,,,,,,,,,,,,
32,"32,001",PIURA,"40,955","43,169","34,932","33,758",,,,,,,,
32,"32,002",SULLANA,"13,710","12,864","14,632","15,496",,,,,,,,
32,"32,003",TALARA,"9,453","9,138","9,837","10,796",,,,,,,,
32,"32,004",CHULUCANAS,"4,567","4,586","4,812","4,635",,,,,,,,
32,"32,005",QUERECOTILLO,"1,042","1,135","1,190","1,213",,,,,,,,
32,"32,006",MARCAVELICA,"1,153","1,220","1,544","1,789",,,,,,,,
32,"32,007",CATACAOS,"3,847","4,268","4,939","4,845",,,,,,,,
32,"32,008",TAMARINDO,423,762,803,790,,,,,,,,
32,"32,009",LAS LOMAS,864,914,"1,065","1,141",,,,,,,,
32,"32,010",LANCONES,149,170,218,225,,,,,,,,
32,"32,011",SALITRAL,519,583,735,780,,,,,,,,
32,"32,012",MORROPON,"1,818","1,843","1,840","1,794",,,,,,,,
32,"32,013",YACILA,242,249,209,239,,,,,,,,
32,"32,014",COLAN,838,842,752,743,,,,,,,,
32,"32,015",PUEBLO NUEVO,"1,416","1,446","1,156","1,109",,,,,,,,
32,"32,016",EL ARENAL,127,135,142,171,,,,,,,,
32,"32,017",VIVIATE,657,693,571,563,,,,,,,,
32,"32,018",AMOTAPE,168,175,179,174,,,,,,,,
32,"32,019",EL TAMBO,71,80,93,97,,,,,,,,
32,"32,020",MIRAMAR,167,163,192,199,,,,,,,,
32,"32,021",LA HUACA,815,867,810,773,,,,,,,,
32,"32,022",VICHAYAL,367,359,306,299,,,,,,,,
32,"32,023",NEGRITOS,"1,136","1,114","1,366","1,283",,,,,,,,
32,,EL ALTO,,,,"1,523",,,,,,,,
32,"32,024",MANCORA,"1,465","1,429","1,463","1,460",,,,,,,,
32,"32,025",LOS ORGANOS,"1,821","1,569",119,884,,,,,,,,
32,"32,026",PAITA,"6,332","6,395","5,891","11,445",,,,,,,,
32,"32,027",CASTILLA,"13,299","12,434","8,039","8,428",,,,,,,,
32,,LOBITOS,,,,,,,,,,,,
33,"33,001",HUARAZ,"17,248","18,482","19,440","20,033",,,,,,,,
33,"33,002",AIJA,13,27,29,43,,,,,,,,
33,"33,003",CARAZ,"2,446","2,451","2,519","2,518",,,,,,,,
33,,YUNGAY,,,,,,,,,,,,
33,,RECUAY,,,,,,,,,,,,
33,"33,004",CHIQUIAN,9,14,14,23,,,,,,,,
34,"34,001",QUILLABAMBA,354,462,"1,021","1,628",,,,,,,,
35,"35,001",BAGUA,118,118,663,654,,,,,,,,
36,"36,001",BARRANCA,"1,345","2,153","2,364","2,364",,,,,,,,
36,"36,002",SUPE,30,,53,55,,,,,,,,
37,"37,001",ICA,"2,315","4,788","5,019","5,138",,,,,,,,
37,"37,002",PALPA,159,155,155,153,,,,,,,,
37,"37,003",PARCONA,0,0,0,0,,,,,,,,
37,"37,004",LOS AQUIJES,0,155,0,0,,,,,,,,
37,,INACTIVO (SANTIAGO),,,,,,,,,,,,
38,"38,001",SICUANI,"9,067","9,385","7,381","7,381",,,,,,,,
38,"38,002",SANTO TOMAS,154,184,177,177,,,,,,,,
39,"39,001",TARMA,"2,738","2,759","2,794","2,662",,,,,,,,
40,"40,001",AZANGARO,"3,590","3,776","4,111","4,111",,,,,,,,
40,,LAMPA,,,,,,,,,,,,
40,,CARABAYA,,,,,,,,,,,,
40,,SANDIA,,,,,,,,,,,,
40,,PUTINA,,,,,,,,,,,,
40,"40,002",HUANCANE,965,945,934,925,,,,,,,,
41,"41,001",JULIACA,"7,602","6,919","6,856","6,856",,,,,,,,
42,"42,001",JAUJA,"3,177","3,277","3,348","3,398",,,,,,,,
42,"42,002",CHUPACA,110,161,262,253,,,,,,,,
42,"42,003",CONCEPCION,280,449,483,600,,,,,,,,
43,"43,001",ABANCAY,"10,357","11,174","11,874","11,949",,,,,,,,
44,"44,001",ANDAHUAYLAS,"4,000","4,497","4,909","4,573",,,,,,,,
45,"45,001",JAEN,"12,303","14,205","14,605","15,096",,,,,,,,
45,"45,002",BELLAVISTA,"1,244","1,292","1,283","1,367",,,,,,,,
45,"45,003",SAN IGNACIO,0,,,,,,,,,,,
46,"46,001",HUANCAYO,"5,224","9,215","9,748","10,096",,,,,,,,
46,"46,002",EL TAMBO,"5,530","9,922","10,467","10,704",,,,,,,,
46,"46,003",CHILCA,"1,942","4,582","4,876","5,080",,,,,,,,
46,"46,004",HUANCÁN ,2,1,6,6,,,,,,,,
46,"46,005",CAJAS,5,7,6,6,,,,,,,,
46,"46,006",ORCOTUNA ,199,194,212,210,,,,,,,,
46,"46,007",VIQUES,0,0,0,0,,,,,,,,
46,"46,008",HUACRAPUQUIO,0,0,0,0,,,,,,,,
47,"47,001",CALCA,0,,0,0,,,,,,,,
48,"48,001",AYAVIRI,0,0,0,0,,,,,,,,
50,"50,001",LA OROYA,"2,321","2,886","2,381","2,362",,,,,,,,
51,"51,001",RIOJA,"3,295","2,773","3,072","3,072",,,,,,,,
