,,,Volumen Facturado (m3) - 2210 - Acumulado,,,,,,,,,,,,,,,,,
26,"26,033",PACHACAMAC,"1,779.90","1,995.52","2,219.28","1,215.63",,,,,,,,,,,1.77990191,1.99552009,2.21928163,1.21562768
26,"26,034",PUCUSANA,254.5,289.97,306.06,151.11,,,,,,,,,,,0.25450104,0.2899719,0.30605613,0.15111221
26,"26,035",SAN JUAN DE MIRAFLORES,"16,912.31","17,342.98","17,551.91","9,315.17",,,,,,,,,,,16.91230694,17.34298405,17.55191181,9.31517327
26,"26,036",VILLA MARIA DEL TRIUNFO,"14,366.48","14,676.28","15,074.94","8,207.39",,,,,,,,,,,14.36647583,14.67628348,15.07494416,8.20739059
26,"26,037",VILLA EL SALVADOR,"13,911.01","14,396.13","14,849.76","8,079.77",,,,,,,,,,,13.9110126,14.39613395,14.84975924,8.07976831
26,"26,038",BARRANCO,"3,169.03","3,163.06","3,197.10","1,650.06",,,,,,,,,,,3.16903313,3.16305816,3.19710306,1.65005896
26,"26,039",CHORRILLOS,"16,851.94","16,875.00","17,557.64","9,202.58",,,,,,,,,,,16.85194043,16.87499969,17.55763898,9.20258075
26,"26,040",LINCE,"5,301.17","5,196.25","5,159.66","2,708.78",,,,,,,,,,,5.30117175,5.19625302,5.15965553,2.70878399
26,"26,041",MIRAFLORES,"15,644.95","15,549.74","15,585.07","8,122.19",,,,,,,,,,,15.64494748,15.54974291,15.58506742,8.12219131
26,"26,042",SAN BORJA,"12,072.09","12,031.81","12,046.33","6,365.93",,,,,,,,,,,12.07209275,12.03181378,12.04633247,6.36593088
26,"26,043",SAN ISIDRO,"12,927.90","12,182.98","11,991.03","6,217.91",,,,,,,,,,,12.92790375,12.18298432,11.99103494,6.21791188
26,"26,044",SURCO,"31,263.83","31,433.55","31,584.70","16,684.73",,,,,,,,,,,31.26382748,31.43355195,31.58469523,16.68473253
26,"26,045",SURQUILLO,"7,567.45","7,547.91","7,666.74","4,003.56",,,,,,,,,,,7.56744739,7.54791398,7.66673849,4.00356452
26,"26,046",PUNTA NEGRA,153.27,155.76,188.17,108.53,,,,,,,,,,,0.15327372,0.15576061,0.18816829,0.10853136
26,"26,047",PUNTA HERMOSA,213.14,221.74,242.16,142.53,,,,,,,,,,,0.21313717,0.22174441,0.24215992,0.14252797
26,"26,048",SAN BARTOLO,240.48,255.82,297.44,164.56,,,,,,,,,,,0.24047996,0.25582318,0.29744083,0.16455629
26,"26,049",MI PERÚ,0,0,813.38,684.29,,,,,,,,,,,0,0,0.81337763,0.68428616
27,"27,001",ILO,"2,977.43","3,159.60","3,353.63","1,832.43",,,,,,,,,,,2.977427,3.159603,3.35363,1.832425
28,"28,001",TRUJILLO,"15,081.00","15,392.19","14,409.93","7,162.56",,,,,,,,,,,15.080996,15.392194,14.409927,7.162563
28,,PACASMAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,002",CHEPEN,924.91,893.78,861.44,429.33,,,,,,,,,,,0.924912,0.893784,0.861443,0.429333375
28,,VIRU,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,CHAO,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,003",HUANCHACO,853.36,"1,053.65",922.95,485.88,,,,,,,,,,,0.853364,1.053649,0.922954,0.485875313
28,"28,004",MOCHE,883.85,876.92,798.86,395.68,,,,,,,,,,,0.883851,0.876917,0.798864,0.395676
28,"28,005",SALAVERRY,356.12,385.72,496.75,251.92,,,,,,,,,,,0.356121,0.385719,0.496748,0.251919563
28,,GUADALUPE,0,0,0,0,,,,,,,,,,,0,0,0,0
28,,SAN PEDRO DE LLOC,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,006",CHOCOPE,149.66,157.53,163.83,93.96,,,,,,,,,,,0.149658,0.157532,0.163827,0.093964875
28,"28,007",PUERTO MALABRIGO,195.35,217.83,165.4,84.86,,,,,,,,,,,0.195345,0.217833,0.165404,0.0848565
28,"28,008",PAIJAN,320.29,341.01,323.9,161.2,,,,,,,,,,,0.32029,0.341008,0.323901,0.161199938
28,"28,009",LA ESPERANZA,"4,024.81","4,162.24","3,963.43","2,029.75",,,,,,,,,,,4.024812,4.162237,3.963432,2.02975275
28,"28,010",EL PORVENIR,"2,873.77","2,962.31","2,838.87","1,442.21",,,,,,,,,,,2.873772,2.962311,2.838867,1.442206875
28,"28,011",FLORENCIA DE MORA,859.53,830.06,782.05,402.76,,,,,,,,,,,0.859532,0.830062,0.782046,0.402756563
28,,CHICAMA,0,0,0,0,,,,,,,,,,,0,0,0,0
28,"28,012",PACANGUILLA,92.99,94.67,94.91,49.6,,,,,,,,,,,0.092987,0.094665,0.094907,0.0496035
28,"28,013",VICTOR LARCO,"2,883.42","2,905.30","3,056.90","1,553.26",,,,,,,,,,,2.883417,2.905301,3.056898,1.553263875
29,"29,001",CHICLAYO,"20,960.07","19,899.67","19,254.86","9,627.43",,,,,,,,,,,20.960072,19.899665,19.25485538,9.627427688
29,"29,002",LAMBAYEQUE,"1,922.43","1,913.20","2,130.85","1,065.43",,,,,,,,,,,1.922432,1.913195,2.130850453,1.065425227
29,"29,003",FERREÑAFE,"1,580.07","1,557.90","1,573.81",786.9,,,,,,,,,,,1.580066,1.5578965,1.573807547,0.786903773
29,"29,004",PIMENTEL,985.25,891.22,"1,046.99",523.5,,,,,,,,,,,0.985251,0.8912205,1.046992758,0.523496379
29,,CHONGOYAPE,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,005",ETEN,345.16,297.95,284.32,142.16,,,,,,,,,,,0.345158,0.2979525,0.284323734,0.142161867
29,"29,006",MONSEFU,892.3,882.9,873.61,437.85,,,,,,,,,,,0.892298,0.882904,0.873607,0.437851113
29,"29,007",ETEN PUERTO,138.47,134.42,134.94,67.47,,,,,,,,,,,0.13847,0.1344235,0.134941219,0.067470609
29,"29,008",NUEVA ARICA,104.4,86.17,74.62,37.31,,,,,,,,,,,0.104396,0.0861655,0.074615297,0.037307648
29,"29,009",OYOTUN,38.07,22.77,20.84,10.42,,,,,,,,,,,0.038074,0.0227705,0.020836617,0.010418309
29,"29,010",PICSI,232.12,233.45,232.76,116.38,,,,,,,,,,,0.232122,0.2334475,0.232760836,0.116380418
29,"29,011",REQUE,245.49,198.2,216.1,108.05,,,,,,,,,,,0.245492,0.1982025,0.216096023,0.108048012
29,"29,012",ZAÑA,118.45,107.19,113.04,56.52,,,,,,,,,,,0.118449,0.107193,0.113037539,0.05651877
29,"29,013",SANTA ROSA,308.2,255.61,229.5,114.75,,,,,,,,,,,0.308202,0.255606,0.229498453,0.114749227
29,"29,014",ILLIMO,127.37,148.64,153.54,76.77,,,,,,,,,,,0.127373,0.148641,0.15353625,0.076768125
29,,PALLANCA,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,015",MOCHUMI,191.81,182.13,139.15,69.58,,,,,,,,,,,0.191814,0.182131,0.139151344,0.069575672
29,"29,016",MOTUPE,551.17,432.63,507.7,259.22,,,,,,,,,,,0.551167,0.4326255,0.507696815,0.259220273
29,"29,017",OLMOS,411.25,388.99,376.45,188.23,,,,,,,,,,,0.411245,0.3889855,0.376451719,0.188225859
29,"29,018",PACORA,134.48,129.05,117.11,58.56,,,,,,,,,,,0.134477,0.1290455,0.117113789,0.058556895
29,"29,019",SALAS,26.46,25.1,23.52,11.76,,,,,,,,,,,0.026463,0.025098,0.023524148,0.011762074
29,"29,020",SAN JOSE,312.16,254.44,176.57,88.28,,,,,,,,,,,0.312155,0.254443,0.176567297,0.088283648
29,"29,021",TUCUME,240.79,244.6,227.4,113.7,,,,,,,,,,,0.240794,0.2445975,0.22739625,0.113698125
29,,MORROPE,0,0,0,0,,,,,,,,,,,0,0,0,0
29,,Desconocido,0,0,0,0,,,,,,,,,,,0,0,0,0
29,"29,022",POSOPE ALTO,307.29,218.51,225.38,112.69,,,,,,,,,,,0.307285,0.2185075,0.225381797,0.112690898
29,"29,023",BATAN GRANDE,91.87,40.52,11.81,5.91,,,,,,,,,,,0.0918735,0.0405155,0.011811047,0.005905523
29,"29,024",JAYANCA,346.21,356.16,310.37,155.19,,,,,,,,,,,0.346208,0.3561625,0.310371375,0.155185688
29,"29,025",MOCUPE,241.67,209.34,206.61,103.31,,,,,,,,,,,0.241665,0.209337,0.206612367,0.103306184
29,"29,026",PAMPA GRANDE,129.19,180.02,92.54,46.27,,,,,,,,,,,0.129191,0.180015,0.092536922,0.046268461
30,"30,001",AREQUIPA METROPOLITANA,"39,308.28","41,589.99","43,164.41","21,379.93",,,,,,,,,,,39.308281,41.5899885,43.164408,21.3799344
30,"30,002",LA JOYA,286.04,315.26,303.42,168.63,,,,,,,,,,,0.28604,0.315256,0.303415,0.168633
30,"30,003",CAMANA,805.15,839.14,885.58,501.19,,,,,,,,,,,0.80515,0.839142,0.885577,0.501192
30,"30,004",CARAVELI,244.43,230.41,240.02,122.57,,,,,,,,,,,0.244427,0.230406,0.240016,0.122568
30,"30,005",ATICO,165.36,162.3,167.52,85.83,,,,,,,,,,,0.165356,0.1623,0.167521,0.085829
30,"30,006",CHALA,91.8,92.29,79.07,40.37,,,,,,,,,,,0.091796,0.092293,0.079067,0.040368
30,"30,007",YAUCA,63.39,56.39,60.88,33.34,,,,,,,,,,,0.063393,0.056388,0.060878,0.033335
30,"30,008",APLAO,290.49,306.04,322.85,165.29,,,,,,,,,,,0.290492,0.30603619,0.322849,0.165294
30,"30,009",CHIVAY,211.99,219.6,295.23,123.19,,,,,,,,,,,0.21199,0.219601,0.29522929,0.123193
30,,NO ACTIVO (CAYLLOMA),0,0,0,0,,,,,,,,,,,0,0,0,0
30,"30,010",EL PEDREGAL,439.09,473.65,537.28,313.38,,,,,,,,,,,0.439087,0.473648,0.537275,0.313383
30,"30,011",CHUQUIBAMBA,141.1,142.34,148.12,76.27,,,,,,,,,,,0.141099,0.14234,0.148123,0.076272
30,"30,012",MOLLENDO,"1,243.97","1,263.36","1,273.34",693.93,,,,,,,,,,,1.243966,1.263355,1.273341,0.69393
30,"30,013",COCACHACRA,247.31,270.46,255.12,148.84,,,,,,,,,,,0.24731,0.270462,0.255121,0.148842
30,"30,014",LA CURVA,59.27,73.37,61.73,39.41,,,,,,,,,,,0.059273,0.073372,0.06173,0.039411
30,"30,015",MATARANI,353.34,318.69,307.87,180.57,,,,,,,,,,,0.353344,0.318694,0.307872,0.18057
30,"30,016",MEJIA,152.02,144.9,167.39,115.96,,,,,,,,,,,0.15202,0.144903,0.16739,0.115958
30,"30,017",PUNTA DE BOMBON,238.21,253.05,226.06,138.52,,,,,,,,,,,0.238213,0.253051,0.226056,0.138518
30,"30,018",EL ARENAL,79.44,79.09,72.71,41.88,,,,,,,,,,,0.079437,0.07909,0.072712,0.041877
30,"30,019",COTAHUASI,111.17,123.15,126.36,65.81,,,,,,,,,,,0.111165,0.12315,0.126361,0.065805
31,"31,001",CUSCO,"12,938.96","13,091.55","13,195.44","6,267.86",,,,,,,,,,,12.938959,13.09155,13.195443,6.267864
31,,ACOMAYO,0,0,0,0,,,,,,,,,,,0,0,0,0
31,,URUBAMBA,0,0,0,0,,,,,,,,,,,0,0,0,0
31,"31,002",PAUCARTAMBO,110.83,121.51,126.76,68.62,,,,,,,,,,,0.11083,0.121505,0.126761,0.068623
31,,HUAROCONDO,0,0,0,0,,,,,,,,,,,0,0,0,0
32,"32,001",PIURA,"11,839.27","12,818.36","13,803.43","7,156.15",,,,,,,,,,,11.83926633,12.818364,13.803431,7.156147
32,"32,002",SULLANA,"5,708.09","5,383.34","5,599.38","2,605.38",,,,,,,,,,,5.708087333,5.383337,5.599382,2.6053845
32,"32,003",TALARA,"3,799.79","3,713.97","3,815.19","1,790.62",,,,,,,,,,,3.799791,3.713972,3.815185,1.790615
32,"32,004",CHULUCANAS,"1,172.36","1,180.12","1,235.72",628.28,,,,,,,,,,,1.172355667,1.180117,1.235723,0.628284
32,"32,005",QUERECOTILLO,360.26,354.43,350.34,170.63,,,,,,,,,,,0.360259333,0.3544265,0.350338,0.170627
32,"32,006",MARCAVELICA,686.77,649.08,683.7,299.47,,,,,,,,,,,0.686766667,0.649077,0.683698,0.299467
32,"32,007",CATACAOS,"1,376.81","1,417.84","1,387.93",645.94,,,,,,,,,,,1.376808333,1.417842,1.387925,0.645937
32,"32,008",TAMARINDO,90.07,90.48,96.03,44.19,,,,,,,,,,,0.090074,0.090478,0.096025,0.044186
32,"32,009",LAS LOMAS,345.59,314.33,339.1,175.76,,,,,,,,,,,0.345586667,0.314331,0.339098,0.175757
32,"32,010",LANCONES,64.99,60.64,59.61,29.04,,,,,,,,,,,0.06499,0.060643,0.059608,0.029043
32,"32,011",SALITRAL,273.34,265.49,266.51,124.26,,,,,,,,,,,0.273337,0.265488,0.266512,0.124264
32,"32,012",MORROPON,325.82,353.22,349.1,167.05,,,,,,,,,,,0.325823,0.353222,0.349104,0.167047
32,"32,013",YACILA,32.71,29.65,33.31,16.86,,,,,,,,,,,0.032708,0.029648,0.033307,0.016855
32,"32,014",COLAN,310.69,323.77,361.68,193.92,,,,,,,,,,,0.310688667,0.323771,0.361676,0.19392
32,"32,015",PUEBLO NUEVO,220.12,220.64,211.74,108.3,,,,,,,,,,,0.220121333,0.220644,0.211739,0.108301
32,"32,016",EL ARENAL,50.62,52.2,53.29,26.18,,,,,,,,,,,0.050624,0.052196,0.053286545,0.026180333
32,"32,017",VIVIATE,78.22,85.31,87.48,45.45,,,,,,,,,,,0.078218333,0.085313,0.08748,0.045453
32,"32,018",AMOTAPE,37.01,36.55,36.79,17.39,,,,,,,,,,,0.037010667,0.036554,0.036786,0.017391
32,"32,019",EL TAMBO,18.21,18.14,18.63,8.5,,,,,,,,,,,0.018206333,0.018143,0.018626,0.0085
32,"32,020",MIRAMAR,43.53,40.02,39.48,20.13,,,,,,,,,,,0.043525667,0.040016,0.039482,0.020133
32,"32,021",LA HUACA,92.45,96.05,108.41,52.94,,,,,,,,,,,0.092453667,0.096053,0.108407,0.052944
32,"32,022",VICHAYAL,37.63,43.99,44.56,21.7,,,,,,,,,,,0.037625333,0.04399,0.044555,0.021699
32,"32,023",NEGRITOS,429.7,445.89,443.91,201.52,,,,,,,,,,,0.429696333,0.445893,0.443905,0.201521
32,,EL ALTO,0,0,0,56.65,,,,,,,,,,,0,0,0,0.056651
32,"32,024",MANCORA,691.19,683.82,574.7,318.87,,,,,,,,,,,0.691188667,0.683819,0.5746975,0.318869
32,"32,025",LOS ORGANOS,325.33,302.91,174.92,110.28,,,,,,,,,,,0.325330333,0.302911,0.174924,0.110279
32,"32,026",PAITA,"3,339.11","3,362.42","3,188.56","1,427.53",,,,,,,,,,,3.339106667,3.362416,3.188564,1.427529
32,"32,027",CASTILLA,"4,562.83","4,666.09","4,976.04","2,604.23",,,,,,,,,,,4.562826333,4.666085,4.97604,2.604234
32,,LOBITOS,0,0,0,0,,,,,,,,,,,0,0,0,0
33,"33,001",HUARAZ,"5,078.04","5,234.49","5,518.84","2,716.88",,,,,,,,,,,5.07804,5.234492,5.518836,2.716884125
33,"33,002",AIJA,74.51,72.21,72.84,35.58,,,,,,,,,,,0.074514,0.072212,0.072836,0.035578688
33,"33,003",CARAZ,925.41,973.2,968.31,499.34,,,,,,,,,,,0.925405,0.973203,0.968307,0.4993445
33,,YUNGAY,0,0,0,0,,,,,,,,,,,0,0,0,0
33,,RECUAY,0,0,0,0,,,,,,,,,,,0,0,0,0
33,"33,004",CHIQUIAN,212.28,215.07,205.39,94.76,,,,,,,,,,,0.212277,0.21507,0.205391,0.094761688
34,"34,001",QUILLABAMBA,"2,528.72","11,755.40","3,200.49","1,624.09",,,,,,,,,,,2.5287185,11.75539887,3.200489634,1.624085
35,"35,001",BAGUA,"1,147.51","1,172.52","1,197.86",606.07,,,,,,,,,,,1.147508,1.172523,1.197863,0.606065
36,"36,001",BARRANCA,"3,000.74","3,046.09","3,162.40","1,581.20",,,,,,,,,,,3.00074,3.046091,3.162404167,1.581202083
36,"36,002",SUPE,771.44,459.36,351.49,197.11,,,,,,,,,,,0.77143797,0.459363,0.35149,0.197105
37,"37,001",ICA,"11,525.00","11,572.79","11,748.55","5,973.30",,,,,,,,,,,11.524995,11.572793,11.748549,5.973302
37,"37,002",PALPA,372.1,351.04,403.21,197.09,,,,,,,,,,,0.372096,0.351035,0.403208,0.197087
37,"37,003",PARCONA,"1,372.37","1,446.05","1,450.36",733.47,,,,,,,,,,,1.372368,1.446053,1.4503593,0.733466
37,"37,004",LOS AQUIJES,166.82,187.58,171.86,87.2,,,,,,,,,,,0.16682,0.187576,0.17186,0.0872
37,,INACTIVO (SANTIAGO),0,0,0,0,,,,,,,,,,,0,0,0,0
38,"38,001",SICUANI,"1,336.81","1,454.86","1,582.98",791.49,,,,,,,,,,,1.336811,1.454859,1.582978,0.791489
38,"38,002",SANTO TOMAS,463.38,510.86,503.2,251.6,,,,,,,,,,,0.463375704,0.510855,0.503198,0.251599
39,"39,001",TARMA,"1,789.56","1,833.26","2,007.37","1,182.08",,,,,,,,,,,1.789555,1.833261897,2.007369,1.182081
40,"40,001",AZANGARO,673,669.84,519.54,239.58,,,,,,,,,,,0.672996,0.669844,0.519544,0.2395815
40,,LAMPA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,CARABAYA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,SANDIA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,,PUTINA,0,0,0,0,,,,,,,,,,,0,0,0,0
40,"40,002",HUANCANE,568.84,550.89,441.58,202.94,,,,,,,,,,,0.568838556,0.550886,0.441581,0.202937
41,"41,001",JULIACA,"8,589.98","8,809.51","8,912.83","4,456.42",,,,,,,,,,,8.589984333,8.809511,8.912832,4.456416
42,"42,001",JAUJA,"1,466.80","1,493.89","1,527.76",777.11,,,,,,,,,,,1.466804,1.49389,1.52775601,0.777107
42,"42,002",CHUPACA,"1,202.83","1,296.31","1,359.90",720.86,,,,,,,,,,,1.202826,1.296311,1.359898,0.720856
42,"42,003",CONCEPCION,"1,038.32","1,030.76","1,060.94",647.05,,,,,,,,,,,1.038319444,1.030764,1.060939,0.647046
43,"43,001",ABANCAY,"2,740.50","2,632.24","2,917.78","1,437.20",,,,,,,,,,,2.740503333,2.63224,2.91778387,1.437200538
44,"44,001",ANDAHUAYLAS,"1,074.68","1,107.92","1,143.01",561.48,,,,,,,,,,,1.074681,1.107921,1.143012,0.561479
45,"45,001",JAEN,"2,235.23","2,786.01","2,864.51","1,607.70",,,,,,,,,,,2.235234,2.78601,2.864512,1.607699
45,"45,002",BELLAVISTA,368.61,358.61,349.97,201.79,,,,,,,,,,,0.368608,0.35861,0.349969,0.201794
45,"45,003",SAN IGNACIO,272.31,266.14,263.19,131.13,,,,,,,,,,,0.272313,0.266144,0.26319,0.131128
46,"46,001",HUANCAYO,"6,760.71","6,798.54","6,841.07","2,883.17",,,,,,,,,,,6.760707,6.798538,6.841071273,2.883165
46,"46,002",EL TAMBO,"8,125.54","8,037.87","8,106.46","4,109.66",,,,,,,,,,,8.12554,8.037873,8.106463636,4.109657
46,"46,003",CHILCA,"3,899.83","3,883.62","3,926.60","1,966.18",,,,,,,,,,,3.899827,3.883616,3.926596364,1.966182
46,"46,004",HUANCÁN ,329.15,342.79,352.87,174.04,,,,,,,,,,,0.329146,0.34279,0.352869818,0.174035
46,"46,005",CAJAS,112.61,116.8,125.62,66.81,,,,,,,,,,,0.112607,0.116797,0.125623636,0.066805
46,"46,006",ORCOTUNA ,150.06,146.64,145.65,69.36,,,,,,,,,,,0.150061,0.146644,0.145654909,0.069357
46,"46,007",VIQUES,69.26,71.42,72.31,37.18,,,,,,,,,,,0.06926,0.071421,0.072314182,0.03718
46,"46,008",HUACRAPUQUIO,48,47.74,48.43,24.35,,,,,,,,,,,0.048,0.04774,0.048430909,0.02435
47,"47,001",CALCA,"2,224.87",0,876,438,,,,,,,,,,,2.22486652,0,0.876,0.438
48,"48,001",AYAVIRI,"1,383.02",0,"1,325.06",662.53,,,,,,,,,,,1.38302358,0,1.325062,0.662531
50,"50,001",LA OROYA,489.82,526.92,473.73,236.16,,,,,,,,,,,0.4898205,0.52692,0.473729,0.236157
51,"51,001",RIOJA,498.28,"1,054.53","1,010.12",483.29,,,,,,,,,,,0.498282,1.054533,1.010115,0.483290352
